datetime,value,variable,device,device_name
2023-10-30 12:00:00-05:00,127.87,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 11:57:00-05:00,127.7,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 11:54:00-05:00,127.51,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 11:51:00-05:00,128.15,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 11:48:00-05:00,128.02,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 11:45:00-05:00,127.84,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 11:42:00-05:00,127.51,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 11:39:00-05:00,127.81,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 11:36:00-05:00,127.68,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 11:33:00-05:00,127.67,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 11:30:00-05:00,127.88,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 11:27:00-05:00,127.66,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 11:24:00-05:00,127.47,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 11:21:00-05:00,127.28,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 11:18:00-05:00,127.22,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 11:15:00-05:00,127.72,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 11:12:00-05:00,127.32,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 11:09:00-05:00,127.05,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 11:06:00-05:00,127.01,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 11:03:00-05:00,127.06,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 11:00:00-05:00,126.6,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 10:57:00-05:00,126.87,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 10:54:00-05:00,127.15,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
